"Pollster","Date","Sample Size","Stratification","Methodology","Fieldwork Start","Fieldwork End","PS - Partido Socialista","AD - Aliança Democrática","BE - Bloco de Esquerda","PCP-PEV - Coligação Democrática Unitária","PAN - Pessoas-Animais-Natureza","A - Aliança","L - Livre","Liberal - Iniciativa Liberal","Chega - Chega","Outros - Outros/Brancos/Nulos","PSD - Partido Social Democrata","CDS-PP - Partido Popular","PAF - PSD/CDS - Portugal à Frente (2015)"
"Pitagórica","24/08/2019","1525","Estratificada por Género, Idade e Região","['Telefónica']","12/08/2019","24/08/2019","43.6","","10.0","6.6","3.2","1.5","","1.3","","8.5","20.4","4.9",""
"Multidados","28/07/2019","800","Aleatória, estratificada por género, idade e nível de instrução","['Telefónica']","18/07/2019","28/07/2019","35.5","","14.7","5.6","7.9","","","","","12.7","20.3","3.3",""
"Aximage","27/07/2019","1354","Estratificada por habitat, sexo, atividade, idade e escolaridade","['Telefónica']","27/07/2019","27/07/2019","39.5","","10.4","7.0","5.2","","","","","11.3","21.5","5.2",""
"Aximage","15/07/2019","601","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade e atividade.","['Telefónica']","12/07/2019","15/07/2019","38.9","","9.8","7.1","4.1","","","","","10.6","24.5","5.1",""
"Pitagórica","14/07/2019","800","Aleatória, estratificada por género, idade e região","['Telefónica']","8/07/2019","14/07/2019","43.2","","9.2","6.8","3.6","1.2","","","","7.6","21.6","6.0",""
"Eurosondagem","11/07/2019","1011","Estratificada por Região","['Telefónica']","7/07/2019","11/07/2019","37.3","","9.0","6.8","4.3","1.5","","","","11.1","23.6","6.4",""
"ICS/ISCTE/GFK Metris","27/06/2019","801","Quotas, estratificada por  sexo, idade, instrução, ocupação, região e habitat.","['Presencial']","15/06/2019","27/06/2019","38.0","","11.0","8.0","4.0","","","","","10.0","23.0","5.0",""
"Aximage","19/06/2019","605","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","13/06/2019","19/06/2019","36.5","","9.2","7.1","4.3","0.8","","","","11.7","23.7","6.8",""
"Eurosondagem","06/06/2019","1008","Estratificada por Região","['Telefónica']","2/06/2019","6/06/2019","37.1","","9.1","6.3","4.8","1.9","","","","10.8","24.0","6.0",""
"CESOP-U.Católica","26/05/2019","4589","Aleatória, com base nos Registos Eleitorais","['Presencial']","26/05/2019","26/05/2019","39.0","","9.0","8.0","4.0","","","","","9.0","25.0","6.0",""
"Aximage","20/05/2019","622","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","16/05/2019","20/05/2019","37.5","","9.3","7.5","1.5","1.3","","","","9.3","26.4","7.1",""
"CESOP-U.Católica","19/05/2019","1882","Seleção aleatória de freguesias. Resultados ponderados por sexo, escalão etário e região.","['Presencial']","16/05/2019","19/05/2019","39.0","","9.0","8.0","3.0","1.0","","","","5.0","28.0","7.0",""
"Pitagórica","19/05/2019","605","Estratificada por Género, Idade e Região","['Telefónica']","10/05/2019","19/05/2019","40.4","","8.2","6.5","3.6","1.5","","","","11.1","22.5","6.1",""
"Aximage","08/05/2019","601","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","08/05/2019","08/05/2019","36.3","","8.1","7.4","1.6","1.4","","","","9.2","28.3","7.6",""
"Pitagórica","13/04/2019","605","Amostra por quotas de sexo e idade","['Telefónica']","3/04/2019","13/04/2019","37.2","","8.3","6.5","2.8","1.8","","","","11.4","25.6","6.5",""
"Eurosondagem","11/04/2019","1019","Estratificada por Região","['Telefónica']","7/04/2019","11/04/2019","36.9","","7.8","7.3","2.5","3.5","","","","8.6","25.0","8.4",""
"Aximage","01/04/2019","602","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","30/03/2019","1/04/2019","35.6","","8.8","7.2","2.3","1.6","","","","7.6","28.1","8.8",""
"Eurosondagem","14/03/2019","1020","Estratificada por Região","['Telefónica']","10/03/2019","14/03/2019","37.3","","8.1","7.1","2.4","3.3","","","","8.1","25.2","8.5",""
"Aximage","13/03/2019","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","9/03/2019","13/03/2019","37.0","","9.4","6.9","2.2","1.8","","","","8.3","24.4","9.9",""
"ICS/ISCTE/GFK Metris","21/02/2019","801","Quotas, estratificada por  sexo, idade, instrução, ocupação, região e habitat.","['Presencial']","9/02/2019","21/02/2019","37.0","","8.0","8.0","3.0","2.0","","","","9.0","25.0","8.0",""
"Aximage","10/02/2019","602","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","5/02/2019","10/02/2019","37.5","","9.2","6.5","2.6","1.6","","","","7.8","25.2","9.6",""
"Eurosondagem","09/01/2019","1010","Aleatória, estratificada por região","['Telefónica']","2/01/2019","9/01/2019","40.0","","7.6","7.1","1.9","4.0","","","","7.5","24.8","7.1",""
"Aximage","07/01/2019","608","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","4/01/2019","7/01/2019","38.8","","9.1","7.4","3.6","1.2","","","","5.5","24.8","9.7",""
"Aximage","11/12/2018","602","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","7/12/2018","11/12/2018","38.3","","10.4","6.5","","","","","","10.3","25.5","9.0",""
"Eurosondagem","14/11/2018","1018","Aleatória, estratificada por região","['Telefónica']","7/11/2018","14/11/2018","41.8","","7.7","7.0","1.8","","","","","7.9","26.8","7.0",""
"Aximage","12/11/2018","603","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","9/11/2018","12/11/2018","39.0","","9.4","6.4","","","","","","10.0","27.2","7.9",""
"Aximage","03/10/2018","603","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","1/10/2018","3/10/2018","39.7","","9.3","7.6","","","","","","9.6","24.5","9.4",""
"Eurosondagem","12/09/2018","1008","Aleatória, estratificada por região","['Telefónica']","5/09/2018","12/09/2018","41.4","","8.0","6.9","1.1","","","","","7.4","27.5","7.7",""
"Aximage","02/09/2018","603","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","02/09/2018","02/09/2018","40.7","","8.0","7.2","","","","","","10.2","24.6","9.4",""
"Aximage","16/07/2018","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","13/07/2018","16/07/2018","39.8","","9.7","7.2","","","","","","8.0","27.8","7.6",""
"Eurosondagem","11/07/2018","1011","Aleatória, estratificada por região","['Telefónica']","4/07/2018","11/07/2018","42.0","","7.9","7.3","1.1","","","","","6.9","27.3","7.5",""
"Aximage","12/06/2018","602","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","9/06/2018","12/06/2018","38.1","","10.6","7.4","","","","","","8.8","28.6","6.5",""
"Eurosondagem","09/05/2018","1008","Aleatória, estratificada por região","['Telefónica']","3/05/2018","9/05/2018","41.0","","8.0","7.5","1.4","","","","","7.1","28.0","7.0",""
"Aximage","09/05/2018","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","5/05/2018","9/05/2018","38.5","","10.2","7.9","","","","","","8.4","28.2","6.8",""
"Aximage","12/04/2018","601","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","8/04/2018","12/04/2018","39.0","","10.3","7.9","","","","","","8.3","27.4","7.2",""
"Eurosondagem","14/03/2018","1010","Aleatória, estratificada por região","['Telefónica']","8/03/2018","14/03/2018","41.5","","7.7","7.3","1.5","","","","","7.0","28.4","6.6",""
"Aximage","05/03/2018","605","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","2/03/2018","5/03/2018","40.1","","10.2","7.6","","","","","","8.9","27.6","5.5",""
"Aximage","06/02/2018","603","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo.","['Telefónica']","3/02/2018","6/02/2018","41.7","","9.0","7.9","","","","","","7.9","27.1","6.4",""
"Eurosondagem","17/01/2018","1018","Aleatória, estratificada por região","['Telefónica']","14/01/2018","17/01/2018","41.3","","8.5","6.9","1.8","","","","","7.6","26.9","7.0",""
"Aximage","09/01/2018","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","6/01/2018","9/01/2018","41.3","","9.5","7.0","","","","","","8.9","26.9","6.4",""
"Eurosondagem","12/12/2017","1017","Aleatória, estratificada por região","['Telefónica']","6/12/2017","12/12/2017","40.2","","8.6","7.0","1.7","","","","","7.7","27.9","6.9",""
"Aximage","04/12/2017","603","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","1/12/2017","4/12/2017","41.1","","9.6","7.7","","","","","","7.9","26.9","6.7",""
"Eurosondagem","15/11/2017","1010","Aleatória, estratificada por região","['Telefónica']","8/11/2017","15/11/2017","40.0","","8.7","6.9","1.7","","","","","7.7","28.4","6.6",""
"Aximage","06/11/2017","603","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","4/11/2017","6/11/2017","40.3","","9.0","8.9","","","","","","8.7","26.3","6.9",""
"Aximage","17/10/2017","603","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","14/10/2017","17/10/2017","43.4","","9.3","8.0","","","","","","8.6","24.6","6.1",""
"Eurosondagem","11/10/2017","1011","Aleatória, estratificada por região","['Telefónica']","9/10/2017","11/10/2017","41.0","","9.0","7.5","1.4","","","","","7.1","28.0","6.0",""
"Aximage","28/09/2017","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","26/09/2017","28/09/2017","45.0","","8.0","8.0","","","","","","8.9","26.6","4.2",""
"Eurosondagem","06/09/2017","1007","Aleatória, estratificada por região","['Telefónica']","31/08/2017","6/09/2017","40.3","","8.4","7.3","1.5","","","","","7.0","28.7","6.8",""
"Aximage","30/08/2017","597","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","30/08/2017","30/08/2017","44.3","","9.4","8.0","","","","","","9.4","23.6","5.4",""
"Eurosondagem","02/08/2017","1011","Aleatória, estratificada por região","['Telefónica']","27/07/2017","2/08/2017","40.8","","8.4","7.6","1.1","","","","","7.1","28.1","6.9",""
"Aximage","11/07/2017","604","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","6/07/2017","11/07/2017","45.1","","10.3","8.0","","","","","","7.7","23.5","5.4",""
"Eurosondagem","05/07/2017","1008","Aleatória, estratificada por região","['Telefónica']","28/06/2017","5/07/2017","40.4","","8.5","7.8","1.3","","","","","7.2","28.6","6.2",""
"Aximage","11/06/2017","601","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","7/06/2017","11/06/2017","44.7","","9.9","8.0","","","","","","7.5","25.2","4.7",""
"Eurosondagem","07/06/2017","1010","Aleatória, estratificada por região","['Telefónica']","1/06/2017","7/06/2017","40.0","","8.6","7.5","1.7","","","","","6.8","29.0","6.4",""
"Eurosondagem","10/05/2017","1005","Aleatória, estratificada por região","['Telefónica']","3/05/2017","10/05/2017","39.0","","9.0","7.6","1.2","","","","","7.3","29.0","6.9",""
"Aximage","08/05/2017","603","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","5/05/2017","8/05/2017","43.2","","10.2","7.8","","","","","","8.4","24.9","5.5",""
"Eurosondagem","05/04/2017","1003","Aleatória, estratificada por região","['Telefónica']","30/03/2017","5/04/2017","39.3","","9.0","7.5","1.4","","","","","7.1","29.3","6.4",""
"Aximage","04/04/2017","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","2/04/2017","4/04/2017","43.3","","9.8","7.8","","","","","","8.7","25.4","5.0",""
"Eurosondagem","08/03/2017","1011","Aleatória, estratificada por região","['Telefónica']","1/03/2017","8/03/2017","38.3","","9.2","8.0","1.8","","","","","6.7","28.8","7.2",""
"Aximage","06/03/2017","608","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","4/03/2017","6/03/2017","43.1","","9.5","7.0","","","","","","8.0","26.9","5.5",""
"Aximage","08/02/2017","601","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","5/02/2017","8/02/2017","43.1","","8.6","8.1","","","","","","7.9","27.1","5.1",""
"Eurosondagem","08/02/2017","1017","Aleatória, estratificada por região","['Telefónica']","1/02/2017","8/02/2017","37.8","","9.2","8.3","1.1","","","","","7.4","29.2","7.0",""
"Eurosondagem","11/01/2017","1010","Aleatória, estratificada por região","['Telefónica']","5/01/2017","11/01/2017","37.3","","9.5","7.8","1.6","","","","","6.9","30.0","6.9",""
"Aximage","09/01/2017","603","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","6/01/2017","9/01/2017","42.8","","9.3","7.1","","","","","","8.1","25.7","7.0",""
"Eurosondagem","14/12/2016","1016","Aleatória, estratificada por região","['Telefónica']","7/12/2016","14/12/2016","38.0","","9.1","7.7","1.6","","","","","6.8","30.0","6.8",""
"Aximage","04/12/2016","605","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","2/12/2016","4/12/2016","41.0","","8.5","7.7","","","","","","8.1","28.0","6.8",""
"CESOP-U.Católica","22/11/2016","977","Seleção aleatória de freguesias. Resultados ponderados por sexo, escalão etário,  região e habitat.","['Telefónica']","19/11/2016","22/11/2016","43.0","","8.0","6.0","2.0","","","","","5.0","30.0","6.0",""
"Eurosondagem","09/11/2016","1011","Aleatória, estratificada por região","['Telefónica']","2/11/2016","9/11/2016","37.0","","9.7","8.2","1.1","","","","","7.0","30.4","6.6",""
"Aximage","01/11/2016","601","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","01/11/2016","01/11/2016","39.2","","9.2","7.5","","","","","","8.3","29.3","6.5",""
"Eurosondagem","12/10/2016","1010","Aleatória, estratificada por região","['Telefónica']","6/10/2016","12/10/2016","36.3","","9.5","8.3","1.3","","","","","6.9","30.7","7.0",""
"Aximage","03/10/2016","608","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","1/10/2016","3/10/2016","38.8","","9.0","7.7","","","","","","6.8","31.5","6.3",""
"Eurosondagem","14/09/2016","1009","Aleatória, estratificada por região","['Telefónica']","7/09/2016","14/09/2016","36.0","","8.9","8.1","1.5","","","","","6.5","32.1","6.9",""
"Aximage","05/09/2016","603","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","2/09/2016","5/09/2016","40.2","","10.7","6.7","","","","","","7.3","30.4","4.7",""
"Eurosondagem","02/08/2016","1005","Aleatória, estratificada por região","['Telefónica']","26/07/2016","2/08/2016","35.5","","9.7","7.8","1.4","","","","","7.1","32.5","6.0",""
"Aximage","17/07/2016","606","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","15/07/2016","17/07/2016","39.9","","10.2","7.0","","","","","","6.7","31.2","5.0",""
"Eurosondagem","06/07/2016","1023","Aleatória, estratificada por região","['Telefónica']","30/06/2016","6/07/2016","35.0","","9.5","8.0","1.6","","","","","6.9","32.5","6.5",""
"Eurosondagem","07/06/2016","1025","Aleatória, estratificada por região","['Telefónica']","1/06/2016","7/06/2016","35.3","","9.9","8.1","1.5","","","","","6.5","31.9","6.8",""
"Aximage","01/06/2016","603","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","01/06/2016","01/06/2016","39.0","","10.3","6.8","","","","","","7.2","32.5","4.3",""
"Eurosondagem","11/05/2016","1031","Aleatória, estratificada por região","['Telefónica']","5/05/2016","11/05/2016","34.8","","9.6","8.4","1.7","","","","","6.8","31.7","7.0",""
"Aximage","09/05/2016","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","7/05/2016","9/05/2016","39.2","","9.9","6.7","","","","","","7.3","32.9","4.1",""
"Eurosondagem","13/04/2016","1026","Aleatória, estratificada por região","['Telefónica']","7/04/2016","13/04/2016","34.3","","9.7","8.3","1.3","","","","","6.7","32.0","7.7",""
"Aximage","03/04/2016","601","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","03/04/2016","03/04/2016","36.4","","10.2","6.3","","","","","","8.4","34.3","4.3",""
"Eurosondagem","09/03/2016","1005","Aleatória, estratificada por região","['Telefónica']","3/03/2016","9/03/2016","35.0","","9.2","7.8","1.4","","","","","6.6","32.0","8.0",""
"Aximage","04/03/2016","609","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","1/03/2016","4/03/2016","34.4","","11.5","6.7","","","","","","8.4","36.8","2.2",""
"Eurosondagem","10/02/2016","1010","Aleatória, estratificada por região","['Telefónica']","4/02/2016","10/02/2016","33.6","","10.0","8.4","1.2","","","","","6.8","32.5","7.5",""
"Aximage","31/01/2016","606","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","31/01/2016","31/01/2016","35.7","","11.2","6.8","","","","","","6.7","37.0","2.8",""
"Eurosondagem","06/01/2016","1016","Aleatória, estratificada por região","['Telefónica']","1/01/2016","6/01/2016","33.3","","10.1","8.5","1.5","","","","","7.0","32.1","7.5",""
"Aximage","06/01/2016","602","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","3/01/2016","6/01/2016","35.5","","9.8","5.6","","","","","","9.3","36.2","3.6",""
"Eurosondagem","09/12/2015","1015","Aleatória, estratificada por região","['Telefónica']","3/12/2015","9/12/2015","33.7","","9.5","7.8","1.3","","","","","6.7","33.0","8.0",""
"CESOP-U.Católica","06/12/2015","1183","Estratificada por região. Resultados ponderados de acordo com a distribuição de eleitores residentes no Continente por sexo, escalões etários e região na base dos dados do recenseamento eleitoral e do Censos 2011.","['Telefónica']","06/12/2015","06/12/2015","34.0","","11.0","7.0","2.0","","","","","5.0","","","41.0"
"Eurosondagem","03/11/2015","1036","Aleatória, estratificada por região","['Telefónica']","03/11/2015","03/11/2015","32.5","","10.0","8.0","1.5","","","","","7.2","","","40.8"
"Intercampus","17/10/2015","807","Amostra por quotas de sexo, idade e região","['Telefónica']","14/10/2015","17/10/2015","32.7","","11.0","7.7","","","","","","7.3","","","41.3"
"Aximage","04/10/2015","603","Estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","30/09/2015","4/10/2015","33.5","","10.7","8.1","2.0","","","","","4.9","","","40.8"
"* Aximage","01/10/2015","1387","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","26/09/2015","1/10/2015","32.5","","9.0","9.2","","","","","","10.2","","","39.1"
"Intercampus","30/09/2015","1013","Amostra por quotas sexo, idade, região e habitat","['Presencial']","23/09/2015","30/09/2015","32.9","","7.9","8.8","","","","","","13.2","","","37.2"
"Eurosondagem","29/09/2015","2067","Aleatória, estratificada por região","['Telefónica']","24/09/2015","29/09/2015","32.7","","6.7","9.4","","","","","","13.5","","","37.7"
"Intercampus","29/09/2015","1008","Amostra por quotas de sexo, idade e região","['Telefónica']","26/09/2015","29/09/2015","32.1","","7.9","8.4","","","","","","13.2","","","38.4"
"CESOP-U.Católica","29/09/2015","1070","Estratificada por região. Resultados ponderados de acordo com a distribuição de eleitores residentes no Continente por sexo, escalões etários e região na base dos dados do recenseamento eleitoral e do Censos 2011.","['Telefónica']","26/09/2015","29/09/2015","34.0","","8.0","10.0","","","","","","9.0","","","39.0"
"Marktest","29/09/2015","1607","Aleatória, quotas de sexo, idade e região","['Telefónica']","29/09/2015","29/09/2015","28.6","","8.7","9.3","0.7","","","","","11.7","","","41.0"
"Intercampus","28/09/2015","1008","Amostra por quotas de sexo, idade e região","['Telefónica']","25/09/2015","28/09/2015","31.6","","7.9","8.2","","","","","","13.4","","","38.8"
"CESOP-U.Católica","28/09/2015","1010","Estratificada por região. Resultados ponderados de acordo com a distribuição de eleitores residentes no Continente por sexo, escalões etários e região na base dos dados do recenseamento eleitoral e do Censos 2011.","['Telefónica']","25/09/2015","28/09/2015","33.0","","8.0","11.0","","","","","","9.0","","","39.0"
"CESOP-U.Católica","28/09/2015","1071","Estratificada por região. Resultados ponderados de acordo com a distribuição de eleitores residentes no Continente por sexo, escalões etários e região na base dos dados do recenseamento eleitoral e do Censos 2011.","['Telefónica']","24/09/2015","28/09/2015","34.0","","7.0","10.0","","","","","","9.0","","","40.0"
"CESOP-U.Católica","27/09/2015","3302","Seleção aleatória de freguesias. Resultados ponderados por sexo, escalão etário e distrito.","['Presencial']","27/09/2015","27/09/2015","32.0","","9.0","9.0","","","","","","12.0","","","38.0"
"Intercampus","26/09/2015","1015","Amostra por quotas de sexo, idade e região","['Telefónica']","24/09/2015","26/09/2015","32.1","","7.5","9.1","","","","","","13.3","","","37.9"
"Intercampus","26/09/2015","1025","Amostra por quotas de sexo, idade e região","['Telefónica']","23/09/2015","26/09/2015","33.0","","6.7","9.0","","","","","","13.2","","","38.1"
"CESOP-U.Católica","26/09/2015","1075","Estratificada por região. Resultados ponderados de acordo com a distribuição de eleitores residentes no Continente por sexo, escalões etários e região na base dos dados do recenseamento eleitoral e do Censos 2011.","['Telefónica']","23/09/2015","26/09/2015","34.0","","7.0","9.0","","","","","","9.0","","","41.0"
"Intercampus","25/09/2015","1025","Amostra por quotas de sexo, idade e região","['Telefónica']","22/09/2015","25/09/2015","32.8","","6.7","8.9","","","","","","14.1","","","37.5"
"CESOP-U.Católica","25/09/2015","936","Estratificada por região. Resultados ponderados de acordo com a distribuição de eleitores residentes no Continente por sexo, escalões etários e região na base dos dados do recenseamento eleitoral e do Censos 2011.","['Telefónica']","22/09/2015","25/09/2015","33.0","","7.0","8.0","","","","","","9.0","","","43.0"
"Intercampus","24/09/2015","1024","Amostra por quotas de sexo, idade e região","['Telefónica']","21/09/2015","24/09/2015","32.3","","6.1","9.2","","","","","","15.5","","","37.0"
"CESOP-U.Católica","24/09/2015","1027","Estratificada por região. Resultados ponderados de acordo com a distribuição de eleitores residentes no Continente por sexo, escalões etários e região na base dos dados do recenseamento eleitoral e do Censos 2011.","['Telefónica']","21/09/2015","24/09/2015","35.0","","7.0","8.0","","","","","","8.0","","","42.0"
"Eurosondagem","23/09/2015","1548","Aleatória, estratificada por região","['Telefónica']","17/09/2015","23/09/2015","36.0","","5.0","10.1","","","","","","13.4","","","35.5"
"CESOP-U.Católica","23/09/2015","1046","Estratificada por região. Resultados ponderados de acordo com a distribuição de eleitores residentes no Continente por sexo, escalões etários e região na base dos dados do recenseamento eleitoral e do Censos 2011.","['Telefónica']","19/09/2015","23/09/2015","34.0","","7.0","9.0","","","","","","9.0","","","41.0"
"Intercampus","23/09/2015","1017","Amostra por quotas de sexo, idade e região","['Telefónica']","20/09/2015","23/09/2015","32.9","","6.0","7.8","","","","","","15.4","","","37.9"
"CESOP-U.Católica","22/09/2015","828","Estratificada por região. Resultados ponderados de acordo com a distribuição de eleitores residentes no Continente por sexo, escalões etários e região na base dos dados do recenseamento eleitoral e do Censos 2011.","['Telefónica']","18/09/2015","22/09/2015","34.0","","8.0","10.0","","","","","","8.0","","","40.0"
"CESOP-U.Católica","22/09/2015","891","Estratificada por região. Resultados ponderados de acordo com a distribuição de eleitores residentes no Continente por sexo, escalões etários e região na base dos dados do recenseamento eleitoral e do Censos 2011.","['Telefónica']","18/09/2015","22/09/2015","35.0","","8.0","9.0","","","","","","8.0","","","40.0"
"Intercampus","22/09/2015","1007","Amostra por quotas de sexo, idade e região","['Telefónica']","19/09/2015","22/09/2015","34.1","","4.8","8.3","","","","","","13.9","","","38.9"
"Intercampus","21/09/2015","1005","Amostra por quotas de sexo, idade e região","['Telefónica']","18/09/2015","21/09/2015","35.7","","4.4","7.3","","","","","","13.7","","","38.9"
"CESOP-U.Católica","21/09/2015","738","Estratificada por região. Resultados ponderados de acordo com a distribuição de eleitores residentes no Continente por sexo, escalões etários e região na base dos dados do recenseamento eleitoral e do Censos 2011.","['Telefónica']","17/09/2015","21/09/2015","35.0","","7.0","8.0","","","","","","10.0","","","40.0"
"Intercampus","20/09/2015","753","Amostra por quotas de sexo, idade e região","['Telefónica']","18/09/2015","20/09/2015","37.1","","4.0","6.3","","","","","","12.5","","","40.1"
"CESOP-U.Católica","19/09/2015","613","Estratificada por região. Resultados ponderados de acordo com a distribuição de eleitores residentes no Continente por sexo, escalões etários e região na base dos dados do recenseamento eleitoral e do Censos 2011.","['Telefónica']","16/09/2015","19/09/2015","35.0","","7.0","8.0","","","","","","10.0","","","40.0"
"CESOP-U.Católica","18/09/2015","678","Estratificada por região. Resultados ponderados de acordo com a distribuição de eleitores residentes no Continente por sexo, escalões etários e região na base dos dados do recenseamento eleitoral e do Censos 2011.","['Telefónica']","15/09/2015","18/09/2015","34.0","","8.0","8.0","","","","","","10.0","","","40.0"
"Aximage","17/09/2015","704","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","13/09/2015","17/09/2015","34.7","","5.8","8.3","","","","","","16.0","","","35.3"
"CESOP-U.Católica","17/09/2015","647","Estratificada por região. Resultados ponderados de acordo com a distribuição de eleitores residentes no Continente por sexo, escalões etários e região na base dos dados do recenseamento eleitoral e do Censos 2011.","['Telefónica']","14/09/2015","17/09/2015","34.0","","8.0","7.0","","","","","","10.0","","","41.0"
"Eurosondagem","16/09/2015","1510","Aleatória, estratificada por região","['Telefónica']","11/09/2015","16/09/2015","35.5","","5.2","10.3","","","","","","15.0","","","34.0"
"Aximage","07/09/2015","602","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","4/09/2015","7/09/2015","34.3","","4.7","8.8","","","","","","12.2","","","40.1"
